checkpoint_seconds,epoch,epoch_seconds,gradient_norm,learning_rate,logging_seconds,mps_driver_mib,mps_live_mib,optimizer_updates,process_rss_mib,seed,stage,timing_boundary,timing_receipt,train_accuracy,train_examples,train_examples_per_second,train_loss,train_seconds,validation_accuracy,validation_examples,validation_loss,validation_seconds,variant,cumulative_active_seconds
0.057581417000619695,1,27.831736792009906,5.229254775159941,0.001,0.001534124996396713,3439.46875,42.865234375,127,938.734375,42,models,through epoch logging; excludes final receipt/table/TensorBoard timing-series publication,complete,0.7264814814814815,16200,629.1709621124894,0.7934221884645062,25.748168582998915,0.6225925925925926,5400,1.2361040581597222,2.0242188340052962,shallow_wide,27.831736792009906
0.048020500005804934,2,27.397921666008187,6.059016670767717,0.0009984740801978985,0.0012443330051610246,3439.46875,42.865234375,127,939.640625,42,models,through epoch logging; excludes final receipt/table/TensorBoard timing-series publication,complete,0.819320987654321,16200,637.3422534443893,0.5309016927083333,25.4180542910035,0.6664814814814815,5400,1.0130859375,1.9305065420048777,shallow_wide,55.22965845801809
0.05007516700425185,3,27.131393792005838,6.860417403574065,0.0009939057285945933,0.0012165829975856468,3439.46875,42.865234375,127,939.765625,42,models,through epoch logging; excludes final receipt/table/TensorBoard timing-series publication,complete,0.8506172839506173,16200,643.4983323325503,0.43507137345679014,25.17489041700901,0.7590740740740741,5400,0.7154769784432871,1.9051097499905154,shallow_wide,82.36105225002393
0.041199707993655466,4,27.580211874999804,7.050156961275837,0.00098632311059685,0.0014210829976946115,3439.46875,42.865234375,127,939.90625,42,models,through epoch logging; excludes final receipt/table/TensorBoard timing-series publication,complete,0.8727777777777778,16200,632.5720803802817,0.3692515733506944,25.60972970900184,0.7703703703703704,5400,0.6496703197337963,1.9277431250084192,shallow_wide,109.94126412502374
0.03846041701035574,5,27.2923868749931,8.893165408156989,0.0009757729755661011,0.0021950829977868125,3439.46875,42.865234375,127,939.984375,42,models,through epoch logging; excludes final receipt/table/TensorBoard timing-series publication,complete,0.8851234567901235,16200,639.9504272720566,0.3331277729552469,25.31446079199668,0.5833333333333334,5400,1.7785261140046296,1.937137458997313,shallow_wide,137.23365100001683
0.05308037500071805,6,27.611235582997324,9.762753944697343,0.000962320368593087,0.002826542011462152,3439.46875,42.865234375,127,933.265625,42,models,through epoch logging; excludes final receipt/table/TensorBoard timing-series publication,complete,0.9018518518518519,16200,632.5326619661993,0.28540873963155866,25.611325666002813,0.7718518518518519,5400,0.7201966236255787,1.9438383749948116,shallow_wide,164.84488658301416
0.03782779099128675,7,27.421375874997466,8.475513848732776,0.0009460482294732421,0.00204583301092498,3439.46875,42.865234375,127,909.203125,42,models,through epoch logging; excludes final receipt/table/TensorBoard timing-series publication,complete,0.9145061728395062,16200,635.8330536826857,0.2479780635127315,25.47838604201388,0.7372222222222222,5400,0.8008184136284722,1.9030224589951104,shallow_wide,192.26626245801162
0.044773040994186886,8,27.186511624997365,7.8363512895238685,0.0009270568813552756,0.0014687910006614402,3439.46875,42.865234375,127,909.328125,42,models,through epoch logging; excludes final receipt/table/TensorBoard timing-series publication,complete,0.9253703703703704,16200,642.1777033534012,0.22079555181809413,25.226662207991467,0.7872222222222223,5400,0.742229908130787,1.9135283340001479,shallow_wide,219.452774083009
0.04024024998943787,9,27.113595458999043,7.666947973056103,0.000905463412215599,0.0015887499903328717,3439.46875,42.865234375,127,909.4375,42,models,through epoch logging; excludes final receipt/table/TensorBoard timing-series publication,complete,0.9304938271604938,16200,644.2566690332924,0.20304714626736112,25.1452577500022,0.6775925925925926,5400,1.939383861400463,1.9263782920024823,shallow_wide,246.56636954200803
0.040474291003192775,10,27.060563208011445,8.711580531803643,0.0008814009529720154,0.001610499995877035,3439.46875,42.865234375,127,909.515625,42,models,through epoch logging; excludes final receipt/table/TensorBoard timing-series publication,complete,0.9325925925925926,16200,644.7783638219374,0.1937496081693673,25.124912541999947,0.7164814814814815,5400,1.1844991500289352,1.893443249995471,shallow_wide,273.6269327500195
