true_class,AnnualCrop,Forest,HerbaceousVegetation,Highway,Industrial,Pasture,PermanentCrop,Residential,River,SeaLake
AnnualCrop,624,0,32,34,0,5,39,0,40,44
Forest,0,1065,2,0,0,4,0,0,0,6
HerbaceousVegetation,24,36,647,2,18,2,49,7,19,12
Highway,0,0,0,330,8,0,0,0,2,0
Industrial,0,0,1,3,346,0,2,1,0,0
Pasture,2,6,18,0,0,87,1,0,0,1
PermanentCrop,3,1,56,0,0,1,246,0,0,0
Residential,0,0,10,1,13,0,2,481,0,0
River,11,2,1,5,0,2,4,0,303,3
SeaLake,4,0,0,0,0,7,0,0,4,721
