checkpoint_seconds,epoch,epoch_seconds,gradient_norm,learning_rate,logging_seconds,mps_driver_mib,mps_live_mib,optimizer_updates,process_rss_mib,seed,stage,timing_boundary,timing_receipt,train_accuracy,train_examples,train_examples_per_second,train_loss,train_seconds,validation_accuracy,validation_examples,validation_loss,validation_seconds,variant,cumulative_active_seconds
0.06838662498921622,1,21.798488999993424,4.818396380567175,0.001,0.001444583002012223,3371.125,12.74560546875,127,920.703125,42,models,through epoch logging; excludes final receipt/table/TensorBoard timing-series publication,complete,0.7237037037037037,16200,813.7141984593238,0.803330982349537,19.908709999988787,0.5996296296296296,5400,1.1878095160590278,1.8198255000024801,middle,21.798488999993424
0.07557583300513215,2,21.70814012500341,4.703656534510334,0.0009984740801978985,0.0022781659936299548,3371.125,12.74560546875,127,921.71875,42,models,through epoch logging; excludes final receipt/table/TensorBoard timing-series publication,complete,0.8245679012345679,16200,817.0595047920879,0.5071921416859568,19.82719729100063,0.7262962962962963,5400,0.8019490559895833,1.8028471249999711,middle,43.506629124996834
0.060918999995919876,3,21.967764209010056,5.214405450295276,0.0009939057285945933,0.001362709008390084,3371.125,12.74560546875,127,922.09375,42,models,through epoch logging; excludes final receipt/table/TensorBoard timing-series publication,complete,0.864320987654321,16200,803.7359565512763,0.39957076461226854,20.155873166993842,0.7537037037037037,5400,0.7586882414641204,1.7494970409898087,middle,65.47439333400689
0.05982566700549796,4,21.49386141700961,5.652970922274853,0.00098632311059685,0.0012702920066658407,3371.125,12.74560546875,127,922.375,42,models,through epoch logging; excludes final receipt/table/TensorBoard timing-series publication,complete,0.885,16200,823.4057541356407,0.334137882185571,19.67438279199996,0.7951851851851852,5400,0.5809484411168981,1.7582486669998616,middle,86.9682547510165
0.052958667001803406,5,21.43968558400229,5.113577294537402,0.0009757729755661011,0.0013161660026526079,3371.125,12.74560546875,127,922.453125,42,models,through epoch logging; excludes final receipt/table/TensorBoard timing-series publication,complete,0.9062345679012346,16200,824.8591029448633,0.2765779622395833,19.639717792000738,0.7201851851851852,5400,0.799462890625,1.745607833014219,middle,108.4079403350188
0.06210879200079944,6,21.443802041991148,4.203213428887795,0.000962320368593087,0.0015165419899858534,3371.125,12.74560546875,127,922.515625,42,models,through epoch logging; excludes final receipt/table/TensorBoard timing-series publication,complete,0.9235802469135802,16200,825.3635597516403,0.22877884476273147,19.627714125002967,0.7822222222222223,5400,0.6441334816261574,1.7522996249899734,middle,129.85174237700994
0.059483082994120196,7,21.415840125002433,3.7164823276790107,0.0009460482294732421,0.0012481669982662424,3371.125,12.74560546875,127,922.59375,42,models,through epoch logging; excludes final receipt/table/TensorBoard timing-series publication,complete,0.934320987654321,16200,826.124381723125,0.19191210334683642,19.609637917004875,0.812037037037037,5400,0.5969552951388889,1.7453721249912633,middle,151.26758250201237
0.05298420799954329,8,21.522979000001214,3.7106695700818157,0.0009270568813552756,0.001476375007769093,3371.125,12.74560546875,127,922.65625,42,models,through epoch logging; excludes final receipt/table/TensorBoard timing-series publication,complete,0.9401234567901234,16200,821.9835839205285,0.17935280128761574,19.708422792013153,0.7348148148148148,5400,1.6093719256365742,1.7599863330106018,middle,172.7905615020136
0.06913104199338704,9,22.013253083991003,3.2361969234436514,0.000905463412215599,0.001527291999082081,3371.125,12.74560546875,127,836.8125,42,models,through epoch logging; excludes final receipt/table/TensorBoard timing-series publication,complete,0.9455555555555556,16200,805.6851748801364,0.1642083212770062,20.107109457996557,0.8464814814814815,5400,0.5190650318287037,1.835283124994021,middle,194.8038145860046
0.06901670800289139,10,22.066603291998035,3.0873874454047736,0.0008814009529720154,0.00297987500380259,3371.125,12.74560546875,127,819.421875,42,models,through epoch logging; excludes final receipt/table/TensorBoard timing-series publication,complete,0.9497530864197531,16200,802.2715062990311,0.14964756341628085,20.192665291993762,0.8557407407407407,5400,0.4827535445601852,1.8017829999880632,middle,216.87041787800263
