variant,seed,parameters,completed_epochs,selected_epoch,selected_validation_accuracy,test_accuracy,test_macro_f1,test_examples,recorded_epoch_seconds,mean_epoch_seconds
shallow_wide,42,691834,40,34,0.9111111111111111,0.8981481481481481,0.8808780816223288,5400,1088.4971143750008,27.21242785937502
middle,42,696618,40,34,0.9342592592592592,0.9166666666666666,0.8984330733464108,5400,873.9076373779535,21.84769093444884
deep_narrow,42,697344,40,28,0.935,0.8970370370370371,0.8771016584216804,5400,1851.547145667937,46.288678641698425
