class_id,support,predicted_count,precision,recall,f1,class_name
0,818,692,0.9667630057803468,0.8178484107579462,0.8860927152317881,AnnualCrop
1,1077,1123,0.9554764024933214,0.9962859795728877,0.9754545454545455,Forest
2,816,645,0.8713178294573644,0.6887254901960784,0.7693360711841205,HerbaceousVegetation
3,340,352,0.9488636363636364,0.9823529411764705,0.9653179190751445,Highway
4,353,368,0.9266304347826086,0.9660056657223796,0.9459084604715673,Industrial
5,115,120,0.7416666666666667,0.7739130434782608,0.7574468085106383,Pasture
6,307,443,0.5801354401805869,0.8371335504885994,0.6853333333333333,PermanentCrop
7,507,522,0.9272030651340997,0.9546351084812623,0.9407191448007775,Residential
8,331,381,0.8162729658792651,0.9395770392749244,0.8735955056179775,River
9,736,754,0.9602122015915119,0.9836956521739131,0.9718120805369127,SeaLake
